"['v1', 'v2', 'v3']",lifetime_i
"[0, 0, 0]",inf
"[0, 0, 1]",0.01230770621951091
"[0, 0, 2]",0.00716479540419232
"[0, 0, 3]",0.005395803344299017
"[0, 0, 4]",0.0047145512172557915
"[0, 0, 5]",0.003987546258508016
"[0, 1, 0]",0.03812245957454741
"[0, 1, 1]",0.007359548423979132
"[0, 1, 2]",0.005043389510109778
"[0, 1, 3]",0.003915540352817876
"[0, 1, 4]",0.00346078157067899
"[0, 1, 5]",0.003957997876490439
"[0, 2, 0]",0.020130768388522968
"[0, 2, 1]",0.0053331440634695245
"[0, 2, 2]",0.003879265092814009
"[0, 2, 3]",0.002998317153741241
"[0, 2, 4]",0.002739162244548694
"[0, 3, 0]",0.013775018061185407
"[0, 3, 1]",0.004128631478139882
"[0, 3, 2]",0.0031202919429228777
"[0, 3, 3]",0.0026363895742735847
"[0, 3, 4]",0.002368205668439094
"[0, 4, 0]",0.010559307498210123
"[0, 4, 1]",0.003349340480085752
"[0, 4, 2]",0.002679405011518415
"[0, 4, 3]",0.002048960440926338
"[0, 5, 0]",0.008641501862264702
"[0, 5, 1]",0.0029092391651028148
"[0, 5, 2]",0.0022959286338480674
"[0, 5, 3]",0.0017027388935577897
"[0, 6, 0]",0.007402481033276296
"[0, 6, 1]",0.00245176966384888
"[0, 6, 2]",0.0019356837858210995
"[0, 6, 3]",0.0015701523139851372
"[0, 7, 0]",0.006800119829634986
"[0, 7, 1]",0.0019747751749501297
"[0, 7, 2]",0.0014557839917412984
"[0, 8, 0]",0.005757188505716903
"[0, 8, 1]",0.0016147087985546326
"[0, 8, 2]",0.002681687546076306
"[0, 9, 0]",0.00511959500175042
"[0, 9, 1]",0.002973469160713918
"[0, 9, 2]",0.0027303530735551785
"[0, 10, 0]",0.005178463323788495
"[0, 10, 1]",0.0026800208336138875
"[0, 11, 0]",0.00419843709216711
"[0, 11, 1]",0.003057814515621289
"[0, 12, 0]",0.00274971507311368
"[0, 13, 0]",0.003288773398502387
"[1, 0, 0]",0.10222936565086807
"[1, 0, 1]",0.010929364286020862
"[1, 0, 2]",0.008907040143262152
"[1, 0, 3]",0.005953925589769023
"[1, 0, 4]",0.004977071536236833
"[1, 1, 0]",0.02934631996996433
"[1, 1, 1]",0.007124534110253255
"[1, 1, 2]",0.006459055293347513
"[1, 1, 3]",0.0041184425004183
"[1, 1, 4]",0.003222760808176181
"[1, 2, 0]",0.017634439245739215
"[1, 2, 1]",0.0053510427515930685
"[1, 2, 2]",0.005139904160630565
"[1, 2, 3]",0.0032897465356764317
"[1, 3, 0]",0.012799017856859633
"[1, 3, 1]",0.004224838174885135
"[1, 3, 2]",0.0041203503755523705
"[1, 3, 3]",0.002669640797580947
"[1, 4, 0]",0.010093709350412847
"[1, 4, 1]",0.0033458869610196343
"[1, 4, 2]",0.003967838223127274
"[1, 5, 0]",0.008397252775651905
"[1, 5, 1]",0.0028606879659728813
"[1, 5, 2]",0.003249424932468364
"[1, 6, 0]",0.0070616868166789
"[1, 6, 1]",0.0026992988151003515
"[1, 6, 2]",0.0030358496592796107
"[1, 7, 0]",0.005967930918509703
"[1, 7, 1]",0.0021107362554261748
"[1, 8, 0]",0.0045299783606703
"[1, 8, 1]",0.00318907507846401
"[1, 9, 0]",0.003518062912872575
"[1, 9, 1]",0.0029006566929215202
"[1, 10, 0]",0.0036424097102431973
"[1, 11, 0]",0.003418547801071368
"[2, 0, 0]",0.03422080940184826
"[2, 0, 1]",0.009441197197854734
"[2, 0, 2]",0.010183470643484061
"[2, 0, 3]",0.005397615617820232
"[2, 1, 0]",0.01708784412955295
"[2, 1, 1]",0.00654221266897671
"[2, 1, 2]",0.007652155039345498
"[2, 1, 3]",0.0038576755212745327
"[2, 2, 0]",0.011323305849063405
"[2, 2, 1]",0.005114330124610263
"[2, 2, 2]",0.006166802178588823
"[2, 3, 0]",0.008418322285910171
"[2, 3, 1]",0.00399575039440683
"[2, 3, 2]",0.0038628393243156007
"[2, 4, 0]",0.006691049513185557
"[2, 4, 1]",0.003390926744576162
"[2, 5, 0]",0.005609132394984378
"[2, 5, 1]",0.0028520809846321795
"[2, 6, 0]",0.004599416658875684
"[2, 6, 1]",0.002529875797103226
"[2, 7, 0]",0.00360918729088715
"[2, 8, 0]",0.003806879637025008
"[2, 9, 0]",0.0031181646829452985
"[3, 0, 0]",0.01300735410838075
"[3, 0, 1]",0.007558894914113798
"[3, 0, 2]",0.008440802139317274
"[3, 1, 0]",0.008166982044409781
"[3, 1, 1]",0.005390154815575392
"[3, 1, 2]",0.00531464758235504
"[3, 2, 0]",0.006170111492567843
"[3, 2, 1]",0.004538267293532688
"[3, 3, 0]",0.004843660029523273
"[3, 3, 1]",0.0037319462795915334
"[3, 4, 0]",0.0039920938079028205
"[3, 4, 1]",0.0029794486769493286
"[3, 5, 0]",0.0032052769078953574
"[3, 6, 0]",0.002886071311540049
"[4, 0, 0]",0.008199529837693922
"[4, 0, 1]",0.005665911447484126
"[4, 1, 0]",0.005702558156061752
"[4, 1, 1]",0.003979187985672491
"[4, 2, 0]",0.004751782442292245
"[4, 2, 1]",0.0037073984316453837
"[4, 3, 0]",0.0036679666258092017
"[4, 4, 0]",0.003081553459819473
"[5, 0, 0]",0.004967472790221753
"[5, 0, 1]",0.004747650170698193
"[5, 1, 0]",0.004036005811800491
"[5, 2, 0]",0.0036051309401949764
"[6, 0, 0]",0.004559509765424278
