['v'],lifetime_i
[0],inf
[1],0.057030685930871974
[2],0.03112393832355886
[3],0.022465872093702457
[4],0.018238504115828506
[5],0.015818641702622795
[6],0.014328215641926462
[7],0.013394123735446012
[8],0.012835265991188102
[9],0.012559189282896769
[10],0.012520612106824262
[11],0.012705234821602365
[12],0.013125161745646995
[13],0.013818946217110368
[14],0.014865486304822307
[15],0.016409939587662847
[16],0.01872683530817239
[17],0.02237689351849825
[18],0.028709070339253056
[19],0.04184616702049222
[20],0.08255022294068975
[21],0.6861414276657316
